# YYYYMMDD, RMM1, RMM2, Phase, Amplitude,RMM1_filt,RMM2_filt,Phase_filt,Amplitude_filt
19800830,0.895041921,0.409236471,5,0.984161841,1.0612653045166667,0.4009855512666667,5.0,1.1344926
19800831,0.79934248,0.474052266,5,0.9293406,0.9525420203916666,0.4583801570666667,5.0,1.057094446
19800901,0.947458573,0.446640961,5,1.047456871,1.0875958918583333,0.4236136276083333,5.0,1.16718179
19800902,1.078629472,0.353858824,5,1.135190559,1.2060697458833334,0.32625057000833335,5.0,1.24941733
19800903,1.21992815,0.348297253,5,1.268674768,1.3339483242166668,0.3176065927833333,5.0,1.371237426
19800904,1.437794802,0.426226139,5,1.499640828,1.5364804892083332,0.3925898321333333,5.0,1.585843331
19800905,1.571809383,0.620294374,5,1.689778047,1.6529700049083333,0.5812856982916667,5.0,1.752199447
19800906,1.632355899,0.829559144,5,1.831052745,1.6969453124833334,0.7834034786916666,5.0,1.869049064
19800907,1.484173057,1.005063046,5,1.792462381,1.5345114809083333,0.9513851913416668,5.0,1.805508036
19800908,1.21280944,1.434825657,6,1.878731328,1.2503399983833334,1.3709601785583334,6.0,1.855500451
19800909,0.832067227,1.795751297,6,1.97915603,0.857264181475,1.71694144045,6.0,1.91905961
19800910,0.506306388,1.872198051,6,1.939451392,0.5219317398666667,1.775458690625,6.0,1.850585395
19800911,0.068246653,2.002466487,6,2.003629116,0.07989663919166667,1.8853739663583333,6.0,1.8870661
19800912,0.054644361,2.272928746,6,2.273585515,0.06394084334166666,2.1333262352416664,6.0,2.13428425
19800913,0.089664109,2.266514607,6,2.268287485,0.096837477325,2.1055193208916667,6.0,2.107745029
19800914,-0.179349838,2.028397625,7,2.036311196,-0.17143970060000002,1.8479324811250002,7.0,1.855867998
19800915,-0.558329377,1.980872332,7,2.058054151,-0.5459622473333333,1.781349616075,7.0,1.863137469
19800916,-0.907343665,1.826517469,7,2.039470174,-0.8889055255416667,1.6094836028833333,7.0,1.838638219
19800917,-1.104598071,1.321254921,7,1.722164761,-1.0797398651,1.0904525512416665,7.0,1.53457647
19800918,-1.071728699,0.58234167,8,1.219723012,-1.0417262324666665,0.34332681282500005,8.0,1.096844038
19800919,-1.013323636,-0.016080579,1,1.01345122,-0.9779660433249999,-0.2587220189166667,1.0,1.011609937
19800920,-1.349924404,-0.136241544,1,1.356782095,-1.3044846343916667,-0.38116983135,1.0,1.359032966
19800921,-1.54714442,-0.331510497,1,1.582262642,-1.4886222217083334,-0.5784184370583334,1.0,1.59704853
19800922,-1.497849262,-0.539384236,1,1.592007464,-1.4259615007583333,-0.7839288699166667,1.0,1.627240202
19800923,-1.516938836,-0.475721962,1,1.589784519,-1.4306232520833333,-0.7169321011750001,1.0,1.600210775
19800924,-1.406159006,-0.189225609,1,1.418833846,-1.307277045875,-0.4295323344666666,1.0,1.37603463
19800925,-1.104384744,0.067833278,8,1.106466004,-0.9972674269250001,-0.17451835239166666,1.0,1.012422331
19800926,-0.774371153,0.32079559,8,0.838188817,-0.6644061012666667,0.07473390290833334,8.0,0.668596009
19800927,-0.604346689,0.285448963,8,0.668368185,-0.4938193234,0.03597959517499999,8.0,0.495128322
19800928,-0.508614022,0.407236849,8,0.651559724,-0.3995886992583334,0.15254944982500002,8.0,0.427717737
19800929,-0.497710126,0.794069663,7,0.937156337,-0.3904195253583333,0.5290896007166668,7.0,0.657543315
19800930,-0.443894821,0.998866792,7,1.093058773,-0.3386028665333333,0.7206320639583332,7.0,0.796217604
19801001,-0.331010905,0.862302668,7,0.923652591,-0.2257768426916667,0.571775649125,7.0,0.61473781
