,nino3,nino4,nino34,nino12,indocW,indocE
1982-09-19,25.24064899997265,29.59417833390472,28.541451682069486,21.88206819279453,27.827892194063526,26.841764473587297
1982-09-20,25.26355432757182,29.56070215733367,28.569799925846542,21.979276377915653,27.929452684588465,26.678604247847947
1982-09-21,25.316830046014573,29.487269859145176,28.554155148009432,22.172932994256282,28.01612255912208,26.559228444493815
1982-09-22,25.377721295660635,29.405276967707806,28.501257347485044,22.386233126546045,28.07149830711165,26.52775844661564
1982-09-23,25.4555448062823,29.320179633745326,28.43344209136527,22.610817977076,28.10415656450121,26.568221207831023
1982-09-24,25.559826033992785,29.237509494889597,28.37308165088637,22.83848281477465,28.122679892848335,26.664454760724798
1982-09-25,25.699878341647967,29.162760550930066,28.342496006985314,23.060914199514876,28.135656757058243,26.800520130309984
1982-09-26,25.834548454072305,29.129727420686553,28.349063018650142,23.20940493438083,28.13615611871321,26.918636442101054
1982-09-27,25.922295485502055,29.150790354242268,28.379739340809667,23.24391743072751,28.11912563175425,26.995335238975493
1982-09-28,25.97257918768434,29.19996904154495,28.426270749279116,23.199961175678563,28.09601233335539,27.064858425006257
1982-09-29,25.99501500024546,29.251336041820945,28.48043209344039,23.11298800071657,28.07826017892211,27.161569287586595
1982-09-30,25.999075156890182,29.278987811735522,28.533996266379138,23.018472401037524,28.07731946690096,27.31966894347147
1982-10-01,25.979095328653067,29.27770379064295,28.56525856907655,22.92599434943181,28.109121115969025,27.475553033148604
1982-10-02,25.929828254510024,29.26339460319588,28.568198600662974,22.83418531780251,28.167151969228357,27.560618208509574
1982-10-03,25.862327636773443,29.242332540297806,28.557878681470314,22.762623349162563,28.229223890952525,27.600686208722045
1982-10-04,25.78765975348465,29.220772730989474,28.54946324245928,22.73094396219557,28.27313896505244,27.62159950871028
1982-10-05,25.71681380076448,29.204935256726113,28.55809506718883,22.7587270500864,28.276688800379752,27.64922800756019
1982-10-06,25.67760981299203,29.17956085261177,28.562990089212363,22.854057421573213,28.235703562539733,27.654683454986337
1982-10-07,25.678533167374027,29.14300765903853,28.548983121554507,22.993459927502307,28.174746744436547,27.612825400830957
1982-10-08,25.702154479894013,29.122493230662894,28.539753639883802,23.149810813297087,28.115104723396353,27.554598623245166
1982-10-09,25.73095069927202,29.145162613660094,28.55898014444991,23.296069314549566,28.078116694498178,27.510962000648707
1982-10-10,25.747453663275024,29.238219565934344,28.63038960410595,23.405348949416094,28.08514435734284,27.512737736418345
1982-10-11,25.73791427789911,29.365356729757302,28.7247281197281,23.414094296605786,28.13888019775207,27.55508020289048
1982-10-12,25.714613467003055,29.476784856278968,28.802557500853464,23.326518255889553,28.2198943393574,27.61121273813698
1982-10-13,25.699825783716143,29.580106185726656,28.87235571533973,23.21760442150003,28.316485787377722,27.678059961914222
1982-10-14,25.715785576329182,29.682956661598677,28.942696516027706,23.162672141230072,28.41698226561831,27.75254145514128
1982-10-15,25.784611060222137,29.792970531947592,29.0220857017741,23.236673612276814,28.509688828520005,27.831589187994567
1982-10-16,25.892720700930745,29.869633682778563,29.08073065675307,23.429737325268512,28.558998867891912,27.892838991938284
1982-10-17,26.003038600997673,29.88136969087124,29.093646512326018,23.660189108801433,28.554935272968034,27.92135363382027
1982-10-18,26.103496696902354,29.84947276165239,29.076634286226316,23.896738394303014,28.525407243043855,27.924370812698893
1982-10-19,26.1819838182018,29.795305751608865,29.045482681617692,24.10801038144841,28.498268426378264,27.908990112049512
1982-10-20,26.226399039235247,29.74013895666364,29.01595774777502,24.262682135344715,28.501349257125696,27.88245445160235
1982-10-21,26.220154025613333,29.710814891275962,29.00691867599721,24.31630377785494,28.53738672448611,27.86479680314805
1982-10-22,26.166915009902176,29.704539170857466,29.01316113950598,24.26874237134241,28.584430608655662,27.86054962254401
1982-10-23,26.086256176604117,29.69817482046966,29.01450602548516,24.1562375836115,28.633318111042648,27.852506145815482
1982-10-24,25.997677953265057,29.668517541006857,28.990724952131,24.01483994463679,28.674951887570323,27.823263747215204
1982-10-25,25.920781832788236,29.592423811396067,28.921653063504117,23.880762507932214,28.70016833433606,27.755640184354036
1982-10-26,25.87695611056584,29.48666476633386,28.819147915341308,23.800089555566323,28.70333895177825,27.679114785423472
1982-10-27,25.86925287609296,29.391270072339317,28.71881478274775,23.77973038239181,28.69029493467405,27.629398025123564
1982-10-28,25.89025406956184,29.31755420685094,28.63609845027162,23.79804088909727,28.66895841600497,27.59752259160751
1982-10-29,25.93255272878353,29.27688422890534,28.586551007779814,23.833179579436237,28.647227592283674,27.574519423821343
1982-10-30,25.98871143039459,29.280571422258067,28.58563062010476,23.863462365070255,28.63304606175014,27.551538475162157
1982-10-31,26.043418771401623,29.329046828617084,28.633283135526863,23.89647304525432,28.628640069256527,27.535029384577673
1982-11-01,26.089114307526028,29.40782208061135,28.71269446871285,23.947296140409126,28.63320713996272,27.539416636611115
1982-11-02,26.130616131746503,29.505704947949308,28.81451575895289,24.006152043233357,28.650151089113695,27.56685210095739
1982-11-03,26.172702435613473,29.611483411190363,28.929417086481195,24.06324263238892,28.682849760036543,27.619582666651702
1982-11-04,26.220162774650007,29.71392742197552,29.048070800953926,24.108774493733765,28.73467297881833,27.6997943512166
1982-11-05,26.23966402108317,29.775393371587448,29.12497159358634,24.12379964672445,28.781121796262894,27.80858326123401
1982-11-06,26.21726658255727,29.78105616980932,29.139918469359714,24.112340891843036,28.8062098002385,27.924196895323142
1982-11-07,26.187697219721382,29.753574338385825,29.1215559259588,24.099305463724615,28.827306303670944,28.01390694900425
1982-11-08,26.185587041912683,29.715599465183384,29.098544172939445,24.10976625266537,28.861889780469667,28.044949727456206
1982-11-09,26.245621749760343,29.689877070523035,29.09958900854072,24.168677370475226,28.927384791698046,27.984620531436757
1982-11-10,26.36189170716602,29.68347226852982,29.119361912335638,24.271223402356885,29.007127692228455,27.837735739979003
1982-11-11,26.489182096019018,29.683815923535672,29.133453119818075,24.386432086049446,29.069958383712677,27.655571880369198
1982-11-12,26.603609154600232,29.683726942841332,29.142342349728384,24.500445080544896,29.11157137774803,27.475572128209546
1982-11-13,26.681371272466453,29.675998876191755,29.146366975585345,24.599501046872692,29.127740809130444,27.335156892431787
1982-11-14,26.698674343840157,29.65345243014197,29.145987351739947,24.669791297089578,29.11416377962162,27.271675766904483
1982-11-15,26.631286804772607,29.630925312970557,29.122616616957085,24.674282042604407,29.090603757014254,27.305218817428287
1982-11-16,26.50159180761653,29.620375427845183,29.076300120746627,24.617138337296915,29.068438287072674,27.41569873632635
1982-11-17,26.35531292874766,29.60969139900584,29.03567958285266,24.546254761485265,29.03085906914819,27.580865116845928
1982-11-18,26.23827565671238,29.586799478038436,29.029397818554767,24.509606727074317,28.96085989751084,27.778344854737362
1982-11-19,26.196248481455438,29.53961798488105,29.08608700587811,24.55515280900325,28.84150356290283,27.985813044961002
1982-11-20,26.246349576146017,29.485615992471832,29.19281724247554,24.67442477364701,28.72415839294241,28.130790922776537
1982-11-21,26.35725418979602,29.44708829858961,29.308561135805427,24.819676363211226,28.658005907557623,28.1813561628834
1982-11-22,26.501865834000373,29.418679295063374,29.42022508834808,24.979991174245857,28.621843054765396,28.176504159521944
1982-11-23,26.653065153858268,29.395104741881063,29.51466037865804,25.14438290750614,28.594535681476586,28.155227239376853
1982-11-24,26.78373468714007,29.370951716054336,29.578794871251404,25.301769693000654,28.55499452800291,28.156498764215062
1982-11-25,26.857747179758253,29.35629493798887,29.588533041591305,25.395607749012896,28.525081584837565,28.162814171107037
1982-11-26,26.870033673713138,29.360004152059233,29.542123683582613,25.40787715081157,28.531648593442398,28.143751185000387
1982-11-27,26.83946321952937,29.375004389769583,29.46030812947452,25.38453779245134,28.56086716419879,28.119076820210847
1982-11-28,26.78494431438713,29.394200096330216,29.36390006339796,25.371468875856504,28.598995634425798,28.108553258127703
1982-11-29,26.725470256991517,29.410428275775242,29.273587268330562,25.414746622760237,28.632242745062186,28.13199233356198
1982-11-30,26.67937444809183,29.417364538500017,29.221450230644653,25.504866292983046,28.650391238567742,28.148225787096997
1982-12-01,26.64950957357449,29.41563005103332,29.210576041998817,25.60065959466841,28.655076250709847,28.1343730755405
1982-12-02,26.630519568948255,29.408406746205387,29.218751602993322,25.69923503060667,28.649925315229822,28.13780437195397
1982-12-03,26.616861035089375,29.398753829786216,29.223711582322597,25.797988384359197,28.638583787359124,28.205972514407815
1982-12-04,26.603250015258826,29.389896241603925,29.203183724310655,25.89416751586799,28.624638464983295,28.38641337087438
1982-12-05,26.60316019906379,29.386437517538017,29.168313421620155,25.962287746352125,28.619947732468507,28.604903116483886
1982-12-06,26.626706499549844,29.386558423710355,29.142517867700242,25.992524689311683,28.624055191298385,28.771035520897563
1982-12-07,26.662515127531922,29.383756537558614,29.12246214307308,26.004453532328952,28.621964788828965,28.908536928245457
1982-12-08,26.699191347976445,29.37150714489743,29.104791958230923,26.017703855155045,28.59868441453666,29.041263976092388
1982-12-09,26.72540453586625,29.343279774709206,29.086186669315335,26.05181878377072,28.539148891173586,29.19297868440594
1982-12-10,26.732799402998648,29.307159909051563,29.058924134138685,26.119046658211182,28.45792050495846,29.292276108870762
1982-12-11,26.728939780301978,29.27505373198435,29.029058807473422,26.204567865227,28.383214903445825,29.28374144454612
1982-12-12,26.724982676274152,29.246061941871915,29.014450134904067,26.286387558688265,28.320814283951023,29.216448263041038
1982-12-13,26.732252729636606,29.219302873979736,29.0328857889084,26.342558761486398,28.276706070591768,29.139569744894114
1982-12-14,26.761910308545,29.193916309845303,29.10219385433301,26.351133412912993,28.2566678241463,29.10215452906867
1982-12-15,26.810498720305805,29.18675343229182,29.20400168129305,26.30462163025239,28.269133629443637,29.10887791293493
1982-12-16,26.865124027341007,29.20292922551758,29.303296998374154,26.23324096043051,28.309000142577336,29.128128856252484
1982-12-17,26.92175370199412,29.223913987440042,29.392842409163173,26.1698449580779,28.362536899194243,29.155399722912716
1982-12-18,26.97637548105458,29.23119421955592,29.465387798255488,26.147402809846174,28.41596625605392,29.18611781712755
1982-12-19,27.024978630413152,29.20621117503056,29.51368792245157,26.198782944787926,28.455497978123105,29.215571324916947
1982-12-20,27.05269631711925,29.152141022442798,29.507528319821066,26.34917374083542,28.473570574306414,29.233901754011736
1982-12-21,27.057324645676882,29.09085241824474,29.443564252063844,26.565915875037316,28.46970826294879,29.238299779769267
1982-12-22,27.052727727827467,29.03184957750304,29.355129175641736,26.793245011378637,28.441537255257455,29.235650588705898
1982-12-23,27.052832255013506,28.984678200186313,29.275505401012136,26.97555231288862,28.386606294252307,29.232848985134755
